Identifier,Evaluation,Tricked,2-Norm for Adv.-Image,Class,filename,match_count
MIFGSM,15664,True,10.297276496887209,313,Trivial Default.csv,
MIFGSM,46751,True,9.815793991088867,935,Trivial Default.csv,
MIFGSM,37438,True,10.269887924194336,748,Trivial Default.csv,
MIFGSM,21503,True,10.545923233032228,430,Trivial Default.csv,
MIFGSM,40603,True,9.371129989624023,812,Trivial Default.csv,
MIFGSM,34749,True,10.918328285217283,694,Trivial Default.csv,
MIFGSM,46520,True,10.367091178894045,930,Trivial Default.csv,
MIFGSM,22878,True,10.101936340332031,457,Trivial Default.csv,
MIFGSM,12766,True,10.584372520446776,255,Trivial Default.csv,
MIFGSM,14162,True,10.32406234741211,283,Trivial Default.csv,
MIFGSM,13665,True,10.118030548095703,273,Trivial Default.csv,
MIFGSM,6405,True,10.73102855682373,128,Trivial Default.csv,
MIFGSM,10143,True,10.065370559692385,202,Trivial Default.csv,
MIFGSM,5805,True,11.016374588012695,116,Trivial Default.csv,
MIFGSM,14611,True,10.363736152648926,292,Trivial Default.csv,
MIFGSM,13075,True,10.226917266845703,261,Trivial Default.csv,
MIFGSM,30698,True,10.826090812683104,613,Trivial Default.csv,
MIFGSM,91,True,10.357707977294922,1,Trivial Default.csv,
MIFGSM,3993,True,10.137996673583984,79,Trivial Default.csv,
MIFGSM,25040,True,10.46355438232422,500,Trivial Default.csv,
MIFGSM,49504,True,10.547014236450195,990,Trivial Default.csv,
MIFGSM,30471,True,10.646896362304688,609,Trivial Default.csv,
MIFGSM,29886,True,10.27051067352295,597,Trivial Default.csv,
MIFGSM,7337,True,10.661725044250488,146,Trivial Default.csv,
MIFGSM,49287,True,10.57923698425293,985,Trivial Default.csv,
MIFGSM,1991,True,10.54539966583252,39,Trivial Default.csv,
MIFGSM,885,True,10.18283748626709,17,Trivial Default.csv,
MIFGSM,2223,True,9.648143768310549,44,Trivial Default.csv,
MIFGSM,49943,True,10.009747505187988,998,Trivial Default.csv,
MIFGSM,42010,True,10.54151439666748,840,Trivial Default.csv,
MIFGSM,819,True,10.515052795410156,16,Trivial Default.csv,
MIFGSM,15923,True,10.024487495422363,318,Trivial Default.csv,
MIFGSM,21678,True,10.8007230758667,433,Trivial Default.csv,
MIFGSM,26085,True,10.355161666870115,521,Trivial Default.csv,
